	name	platform	year_of_release	genre	na_sales	eu_sales	jp_sales	other_sales	critic_score	user_score	rating_esrb	sum_sales
4334	Hot Wheels: Stunt Track Challenge	GBA	2004.0	Racing	0.32	0.12	0.0	0.01			E	0.45
4335	My Fashion Studio	DS	2007.0	Misc	0.41	0.0	0.0	0.03		6.8	E	0.43999999999999995
4336	Maze Craze: A Game of Cops 'n Robbers	2600		Action	0.42	0.02	0.0	0.0			ND	0.44
4337	Mobile Suit Gundam	PS	1995.0	Action	0.0	0.0	0.42	0.03			ND	0.44999999999999996
4338	TNA iMPACT!	X360	2008.0	Fighting	0.26	0.15	0.0	0.04			ND	0.45
4339	Pirates of the Caribbean: At World's End	Wii	2007.0	Action	0.39	0.02	0.01	0.04	53.0	7.2	T	0.46
4340	Bee Movie Game	DS	2007.0	Action	0.41	0.0	0.0	0.03	58.0		E	0.43999999999999995
4341	Sega Rally Revo	X360	2007.0	Racing	0.12	0.28	0.0	0.05	77.0	7.2	E	0.45
4342	SingStar Take That	PS2	2009.0	Misc	0.0	0.06	0.0	0.39			ND	0.45
4343	Final Fantasy Collection	PS	1999.0	Role-Playing	0.0	0.0	0.42	0.03			ND	0.44999999999999996
4344	Disney Sing It! High School Musical 3: Senior Year	PS2	2008.0	Misc	0.09	0.02	0.0	0.34			ND	0.45
4345	Samurai Warriors: Xtreme Legends	PS2	2004.0	Action	0.04	0.03	0.36	0.01	72.0	8.6	T	0.44
4346	LEGO Rock Band	DS	2009.0	Misc	0.32	0.09	0.0	0.04	80.0	7.5	E	0.45
4347	NHL FaceOff	PS	1994.0	Sports	0.25	0.17	0.0	0.03			ND	0.45000000000000007
4348	WWE WrestleMania 21	XB	2005.0	Fighting	0.34	0.1	0.0	0.02	56.0	6.9	T	0.4600000000000001
4349	NBA Live 2005	GC	2004.0	Sports	0.35	0.09	0.0	0.01	83.0	6.7	E	0.44999999999999996
4350	F.E.A.R. 3	PS3	2011.0	Shooter	0.21	0.16	0.01	0.07	74.0	7.1	M	0.45
4351	Defender II	2600	1987.0	Shooter	0.42	0.02	0.0	0.0			ND	0.44
4352	WWE Day of Reckoning	GC	2004.0	Fighting	0.35	0.09	0.0	0.01	79.0	9.1	T	0.44999999999999996
4353	NBA Live 10	X360	2009.0	Sports	0.4	0.02	0.0	0.03	80.0	7.7	E	0.45000000000000007
4354	ATV Quad Power Racing 2	XB	2003.0	Racing	0.36	0.07	0.0	0.01	68.0		E	0.44
4355	Harry Potter and the Deathly Hallows - Part 1	X360	2010.0	Action	0.21	0.2	0.0	0.04	38.0	5.0	T	0.45
4356	Walt Disney World Quest: Magical Racing Tour	PS	2000.0	Racing	0.25	0.17	0.0	0.03			ND	0.45000000000000007
4357	Pro Evolution Soccer 2017	PS4	2016.0	Sports	0.02	0.27	0.11	0.05	85.0	7.6	E	0.45
4358	Sled Storm	PS2	2002.0	Racing	0.22	0.17	0.0	0.06	73.0	7.7	T	0.45
4359	Vandal Hearts	PS	1996.0	Role-Playing	0.14	0.09	0.19	0.03			ND	0.45000000000000007
4360	Dead or Alive: Dimensions	3DS	2011.0	Fighting	0.13	0.21	0.07	0.03	79.0	8.2	T	0.43999999999999995
4361	Disney Infinity 3.0	PS3	2015.0	Action	0.16	0.21	0.0	0.07			ND	0.44
4362	We Sing Encore	Wii	2010.0	Misc	0.0	0.39	0.0	0.06			ND	0.45
4363	Wolfenstein: The New Order	PC	2014.0	Shooter	0.13	0.29	0.0	0.03	81.0	8.2	M	0.44999999999999996
4364	Deadpool	PS3	2013.0	Action	0.23	0.14	0.0	0.08	61.0	7.2	M	0.45
4365	Jawbreaker	2600	1981.0	Action	0.42	0.03	0.0	0.0			ND	0.44999999999999996
4366	Scooby-Doo! Mystery Mayhem	PS2	2004.0	Action	0.22	0.17	0.0	0.06			ND	0.45
4367	Watch Dogs	PC	2014.0	Action	0.15	0.26	0.0	0.03	77.0	4.7	M	0.44000000000000006
4368	Mario Golf: Advance Tour	GBA	2004.0	Sports	0.32	0.12	0.0	0.01	84.0	8.6	E	0.45
4369	Celebrity Sports Showdown	Wii	2008.0	Sports	0.18	0.22	0.0	0.05	50.0	4.6	E	0.45
4370	F.E.A.R. 3	X360	2011.0	Shooter	0.3	0.11	0.01	0.04	75.0	7.0	M	0.45999999999999996
4371	Disney Guilty Party	Wii	2010.0	Misc	0.42	0.0	0.0	0.03	78.0	8.0	E	0.44999999999999996
4372	Silent Hill: Homecoming	X360		Action	0.25	0.15	0.0	0.04	70.0	6.9	M	0.44
4373	Yu-Gi-Oh! Capsule Monster Coliseum	PS2	2004.0	Misc	0.22	0.17	0.0	0.06			ND	0.45
4374	Warhammer 40,000: Space Marine	PS3	2011.0	Shooter	0.13	0.23	0.0	0.08	70.0	7.4	M	0.44
4375	Discovery Kids: Kitten Corner	DS	2009.0	Simulation	0.42	0.0	0.0	0.03			E	0.44999999999999996
4376	Rock Band Country Track Pack	Wii	2009.0	Misc	0.41	0.0	0.0	0.03			E10+	0.43999999999999995
4377	Major League Baseball 2K6	PS2	2006.0	Sports	0.37	0.01	0.0	0.06	70.0	5.2	E	0.44
4378	Brunswick Pro Bowling	X360	2010.0	Sports	0.38	0.04	0.0	0.03	44.0		E	0.44999999999999996
4379	Jampack Volume 13 (RP-M)	PS2	2005.0	Misc	0.37	0.01	0.0	0.06			ND	0.44
4380	World Soccer Winning Eleven 9	XB	2005.0	Sports	0.06	0.33	0.02	0.03	89.0	7.9	E	0.44000000000000006
4381	NBA Live 2000	N64	1999.0	Sports	0.42	0.02	0.0	0.0			ND	0.44
4382	Teenage Mutant Ninja Turtles 2: Battle Nexus	PS2	2004.0	Action	0.22	0.17	0.0	0.06	47.0	7.8	T	0.45
4383	SpongeBob SquarePants: Lights, Camera, Pants!	PS2	2005.0	Misc	0.37	0.01	0.0	0.06			ND	0.44
4384	The Thing	PS2	2002.0	Adventure	0.22	0.17	0.0	0.06	78.0	7.4	M	0.45
4385	Van Helsing	PS2	2004.0	Action	0.22	0.17	0.0	0.06	64.0	8.5	T	0.45
4386	Mario Tennis Ultra Smash	WiiU	2015.0	Sports	0.13	0.15	0.14	0.02	58.0	5.3	E	0.44000000000000006
4387	Virtua Tennis 4	PS3	2011.0	Sports	0.09	0.24	0.03	0.08	69.0	6.6	E	0.44
4388	X-Men Legends II: Rise of Apocalypse	XB	2005.0	Role-Playing	0.3	0.12	0.0	0.02	84.0	8.7	T	0.44
4389	Naruto Shippuden: Ultimate Ninja Storm Generations	X360	2012.0	Fighting	0.26	0.14	0.01	0.04	74.0	7.2	T	0.45
4390	Wolfenstein: The New Order	PS3	2014.0	Shooter	0.14	0.21	0.02	0.07		7.1	M	0.44
4391	Skylanders: Trap Team	PS4	2014.0	Action	0.19	0.18	0.0	0.07	78.0	5.6	E10+	0.44
4392	Worms: Open Warfare 2	PSP	2007.0	Strategy	0.04	0.26	0.0	0.14	80.0	8.1	E10+	0.44
4393	Transformers: Revenge of the Fallen (Wii & PS2 Version)	DS	2009.0	Action	0.26	0.14	0.0	0.04			ND	0.44
4394	Spawn: Armageddon	PS2	2003.0	Action	0.22	0.17	0.0	0.06	56.0	7.4	M	0.45
4395	The Godfather (US sales)	XB	2006.0	Action	0.33	0.1	0.0	0.02			ND	0.45000000000000007
4396	Sid Meier's Civilization Revolution	DS	2008.0	Strategy	0.37	0.03	0.02	0.03	80.0	7.7	E10+	0.45000000000000007
4397	World Stadium EX	PS	1996.0	Sports	0.0	0.0	0.41	0.03			ND	0.43999999999999995
4398	Tiger Woods PGA Tour 2003	XB	2002.0	Sports	0.35	0.08	0.0	0.01	88.0	8.5	E	0.44
4399	Battlefield 2: Modern Combat	PS2	2005.0	Shooter	0.37	0.01	0.0	0.06	80.0	8.5	T	0.44
4400	50 Cent: Bulletproof	XB	2005.0	Action	0.33	0.1	0.0	0.02	50.0	5.9	M	0.45000000000000007
4401	Densetsu no Stafi 2	GBA	2003.0	Platform	0.0	0.0	0.43	0.01			ND	0.44
4402	Independence Day	PS	1997.0	Shooter	0.25	0.17	0.0	0.03			ND	0.45000000000000007
4403	Tony Hawk's Proving Ground	PS3	2007.0	Sports	0.36	0.04	0.0	0.04	73.0	6.6	T	0.43999999999999995
4404	Chocobo Racing	PS	1999.0	Racing	0.07	0.05	0.3	0.03			ND	0.44999999999999996
4405	Disney Infinity 2.0: Marvel Super Heroes	XOne	2014.0	Action	0.25	0.15	0.0	0.04			ND	0.44
4406	LEGO Star Wars II: The Original Trilogy	XB	2006.0	Action	0.33	0.1	0.0	0.02	85.0	8.6	E10+	0.45000000000000007
4407	Viking: Battle for Asgard	X360	2008.0	Action	0.16	0.23	0.0	0.05	68.0	8.0	M	0.44
4408	Petz: Catz 2	Wii	2007.0	Simulation	0.4	0.01	0.0	0.03		5.8	E	0.44000000000000006
4409	Dragon Quest Heroes: Rocket Slime	DS	2005.0	Action	0.13	0.0	0.31	0.01	83.0	7.6	E	0.45
4410	Gundam SEED: Federation vs. Z.A.F.T.	PS2	2005.0	Shooter	0.0	0.0	0.44	0.0			ND	0.44
4411	Ms. Pac-Man Maze Madness	PS	2000.0	Puzzle	0.25	0.17	0.0	0.03			ND	0.45000000000000007
4412	Blood Omen: Legacy of Kain	PS	1996.0	Role-Playing	0.25	0.17	0.0	0.03			ND	0.45000000000000007
4413	Super Bomberman 4	SNES	1996.0	Puzzle	0.0	0.0	0.44	0.0			ND	0.44
4414	Fable	X360	2014.0	Role-Playing	0.25	0.15	0.01	0.04			ND	0.45
4415	Family Fest Presents Circus Games	Wii	2008.0	Misc	0.1	0.29	0.0	0.05			E	0.44
4416	Dance Dance Revolution: Hottest Party 3	Wii	2009.0	Simulation	0.26	0.14	0.0	0.04	66.0	8.2	E10+	0.44
4417	Bomberman II	NES	1991.0	Puzzle	0.16	0.03	0.15	0.1			ND	0.43999999999999995
4418	Duke Nukem 64	N64	1997.0	Shooter	0.35	0.08	0.0	0.01			ND	0.44
4419	Transformers: Dark of the Moon - Autobots/Decepticons	DS	2011.0	Action	0.32	0.08	0.0	0.03			ND	0.43000000000000005
4420	The Urbz: Sims in the City (all regions sales)	DS	2004.0	Simulation	0.4	0.01	0.02	0.0			ND	0.43000000000000005
4421	SpongeBob SquarePants: Lights, Camera, Pants!	GC	2005.0	Misc	0.34	0.09	0.0	0.01			ND	0.44000000000000006
4422	Super Robot Taisen OG: Original Generations	PS2	2007.0	Strategy	0.0	0.0	0.44	0.0			ND	0.44
4423	G-Force	Wii	2009.0	Action	0.19	0.2	0.0	0.05	69.0	8.0	E10+	0.44
4424	Army Men World War: Final Front	PS	2001.0	Action	0.24	0.17	0.0	0.03			ND	0.44000000000000006
4425	Transformers: Fall of Cybertron	X360	2012.0	Action	0.28	0.12	0.0	0.04	79.0	8.3	T	0.44
4426	SOCOM: U.S. Navy SEALs Fireteam Bravo 3	PSP	2010.0	Shooter	0.17	0.13	0.06	0.08	74.0	8.0	T	0.44000000000000006
4427	MX Unleashed	XB	2004.0	Racing	0.34	0.08	0.0	0.02	81.0	9.3	E	0.44000000000000006
4428	Puppy Luv: Spa and Resort	DS	2007.0	Simulation	0.4	0.0	0.0	0.03			E	0.43000000000000005
4429	Jikkyou Powerful Pro Yakyuu 9	PS2	2002.0	Sports	0.0	0.0	0.44	0.0			ND	0.44
4430	Grind Session	PS	2000.0	Sports	0.24	0.17	0.0	0.03			ND	0.44000000000000006
4431	Naruto: Gekito Ninja Taisen! 3	GC	2004.0	Fighting	0.0	0.0	0.43	0.01			ND	0.44
4432	Madden NFL 12	Wii	2011.0	Sports	0.41	0.0	0.0	0.03		6.2	E	0.43999999999999995
4433	Wario World	GC	2003.0	Platform	0.34	0.09	0.0	0.01	71.0	7.2	E	0.44000000000000006
4434	DmC: Devil May Cry	X360	2013.0	Action	0.26	0.12	0.01	0.04	86.0	5.1	M	0.43
4435	Scooby-Doo! Mystery Mayhem	GBA	2003.0	Action	0.31	0.12	0.0	0.01	53.0		E	0.44
4436	Super Breakout	2600		Puzzle	0.41	0.03	0.0	0.0			ND	0.43999999999999995
4437	FIFA Soccer 13	PSV	2012.0	Action	0.0	0.28	0.05	0.11	57.0	4.1	E	0.44
4438	The Legend of Spyro: Dawn of the Dragon	PS3	2008.0	Platform	0.19	0.18	0.0	0.07	59.0	6.6	E10+	0.44
4439	Taiko no Tatsujin: Doki! Shinkyoku Darake no Haru Matsuri	PS2	2003.0	Misc	0.0	0.0	0.44	0.0			ND	0.44
4440	Samurai Warriors 3	Wii	2009.0	Action	0.09	0.02	0.32	0.01	55.0	7.2	T	0.44
4441	Ben 10 Alien Force: Vilgax Attacks	Wii	2009.0	Action	0.25	0.14	0.0	0.04	65.0	4.0	E10+	0.43
4442	TimeSplitters 2	GC	2002.0	Shooter	0.34	0.09	0.0	0.01	88.0	9.0	T	0.44000000000000006
4443	Battlebots: Design & Destroy	GBA	2003.0	Action	0.31	0.12	0.0	0.01			ND	0.44
4444	Robert Ludlum's The Bourne Conspiracy	X360		Action	0.26	0.13	0.0	0.04	71.0	7.2	T	0.43
4445	Eternal Darkness: Sanity's Requiem	GC	2002.0	Adventure	0.34	0.09	0.0	0.01	92.0	8.7	M	0.44000000000000006
4446	Food Network: Cook or Be Cooked	Wii	2009.0	Misc	0.41	0.0	0.0	0.03	53.0	6.8	E	0.43999999999999995
4447	Power Rangers: S.P.D.	GBA	2004.0	Action	0.31	0.12	0.0	0.01			E10+	0.44
4448	Naruto: Ultimate Ninja 3	PS2	2005.0	Fighting	0.36	0.01	0.0	0.06	75.0	8.7	T	0.43
4449	The Darkness	X360	2007.0	Shooter	0.36	0.04	0.01	0.03	82.0	8.1	M	0.43999999999999995
4450	Thrillville: Off the Rails	Wii	2007.0	Strategy	0.38	0.02	0.0	0.03	70.0	2.8	E10+	0.43000000000000005
4451	Jump Start Pet Rescue	Wii	2009.0	Misc	0.41	0.0	0.0	0.03			ND	0.43999999999999995
4452	SingStar Motown	PS2	2009.0	Misc	0.0	0.06	0.0	0.38			ND	0.44
4453	Child of Eden	X360	2011.0	Shooter	0.28	0.12	0.0	0.04	84.0	7.7	E10+	0.44
4454	Neon Genesis Evangelion	SAT	1996.0	Adventure	0.0	0.0	0.44	0.0			ND	0.44
4455	Mobile Suit Gundam: One Year War	PS2	2005.0	Action	0.0	0.0	0.44	0.0			ND	0.44
4456	Spider-Man: Shattered Dimensions	PS3	2010.0	Action	0.26	0.12	0.0	0.05	74.0	7.5	T	0.43
4457	Tongari Boushi to Mahou no Otana	DS	2010.0	Simulation	0.0	0.0	0.44	0.0			ND	0.44
4458	NFL Blitz 20-03	PS2	2002.0	Sports	0.21	0.17	0.0	0.06	73.0	8.6	E	0.44
4459	SpongeBob's Atlantis SquarePantis	PS2	2007.0	Action	0.36	0.01	0.0	0.06			E	0.43
4460	Eternal Sonata	PS3	2008.0	Role-Playing	0.19	0.12	0.07	0.05	80.0	7.8	T	0.43
4461	SingStar Queen	PS3	2009.0	Misc	0.11	0.25	0.0	0.07			ND	0.43
4462	Karaoke Revolution	Wii	2009.0	Misc	0.24	0.15	0.0	0.04	63.0		T	0.43
4463	Star Wars: Jedi Starfighter	XB	2002.0	Simulation	0.35	0.07	0.0	0.02	78.0	5.2	T	0.44
4464	Walk it Out!	Wii	2010.0	Sports	0.35	0.05	0.0	0.03			ND	0.42999999999999994
4465	Classic NES Series: Metroid	GBA	2004.0	Adventure	0.26	0.1	0.07	0.01	58.0	8.6	E	0.44
4466	Nicktoons: Attack of the Toybots	Wii	2007.0	Platform	0.4	0.0	0.0	0.03	60.0	6.0	E	0.43000000000000005
4467	Primal	PS2	2003.0	Action	0.21	0.17	0.0	0.06	73.0	8.6	M	0.44
4468	Need for Speed: Shift 2 Unleashed	X360	2011.0	Racing	0.18	0.21	0.0	0.04			ND	0.43
4469	Yu-Gi-Oh! 5D's Tag Force 4	PSP	2009.0	Strategy	0.19	0.07	0.12	0.05			ND	0.43
4470	Ninja Gaiden 3	PS3	2012.0	Action	0.19	0.09	0.11	0.05	58.0	5.0	M	0.44
4471	Band Hero	DS	2009.0	Misc	0.2	0.19	0.0	0.04	65.0	7.0	E10+	0.43
4472	Need for Speed Underground 2	GBA	2004.0	Racing	0.31	0.12	0.0	0.01	72.0	8.2	E	0.44
4473	Madden NFL 2002	N64	2001.0	Sports	0.41	0.02	0.0	0.0			ND	0.43
4474	007: Quantum of Solace	PS2	2008.0	Action	0.17	0.0	0.0	0.26			ND	0.43000000000000005
4475	Master of Illusion	DS	2006.0	Puzzle	0.16	0.0	0.26	0.01	69.0		E	0.43000000000000005
4476	Spec Ops: Covert Assault	PS	2001.0	Shooter	0.24	0.16	0.0	0.03			T	0.43000000000000005
4477	SSX Tricky	XB	2001.0	Sports	0.32	0.09	0.0	0.02	88.0	8.5	E	0.43000000000000005
4478	Flight Control Rocket	GBA	2005.0	Simulation	0.31	0.12	0.0	0.01			ND	0.44
4479	Tetris Axis	3DS	2011.0	Puzzle	0.2	0.13	0.06	0.03	74.0	6.8	E	0.42000000000000004
4480	Borderlands: The Handsome Collection	XOne	2015.0	Shooter	0.26	0.13	0.0	0.04	80.0	7.8	M	0.43
4481	Sleeping Dogs	PS4	2014.0	Action	0.16	0.2	0.0	0.07			ND	0.43
4482	The Chronicles of Narnia: The Lion, The Witch and The Wardrobe	PS2	2005.0	Action	0.36	0.01	0.0	0.06	68.0	8.4	T	0.43
4483	NiGHTS into dreams...	SAT	1996.0	Platform	0.0	0.0	0.43	0.0			ND	0.43
4484	Star Wars The Clone Wars: Republic Heroes	PS3	2009.0	Action	0.19	0.18	0.0	0.07	43.0	5.3	T	0.44
4485	NCAA Football 2004	XB	2003.0	Sports	0.4	0.02	0.0	0.02	88.0	8.8	E	0.44000000000000006
4486	Bionicle	PS2	2003.0	Action	0.21	0.17	0.0	0.06	51.0	3.6	E	0.44
4487	Hyrule Warriors	3DS	2016.0	Action	0.17	0.13	0.11	0.03			ND	0.44000000000000006
4488	DanceStar Party	PS3	2011.0	Misc	0.0	0.34	0.0	0.1			ND	0.44000000000000006
4489	Naruto Shippuden: Ultimate Ninja Storm Revolution	PS3	2014.0	Fighting	0.15	0.14	0.09	0.06	73.0	7.5	T	0.44
4490	Naughty Bear	PS3	2010.0	Action	0.18	0.18	0.0	0.07	43.0	5.5	T	0.43
4491	MLB 2002	PS	2001.0	Sports	0.24	0.16	0.0	0.03	76.0	8.1	E	0.43000000000000005
4492	Deadpool	X360	2013.0	Action	0.26	0.13	0.0	0.04	62.0	7.4	M	0.43
4493	Lego Batman 3: Beyond Gotham	XOne	2014.0	Action	0.23	0.17	0.0	0.04	74.0	7.1	E10+	0.44
4494	MLB 14: The Show	PS3	2014.0	Sports	0.35	0.0	0.0	0.08	81.0	6.8	E	0.43
4495	Devil May Cry HD Collection	X360	2012.0	Action	0.28	0.11	0.01	0.03	77.0	8.4	M	0.43000000000000005
4496	Hyperdimension Neptunia	PS3	2010.0	Role-Playing	0.22	0.09	0.07	0.04	45.0	7.0	T	0.42
4497	TimeSplitters	PS2	2000.0	Shooter	0.21	0.17	0.0	0.06	81.0	8.0	T	0.44
4498	Barnstorming	2600	1981.0	Action	0.4	0.02	0.0	0.0			ND	0.42000000000000004
4499	InuYasha: The Secret of the Cursed Mask	PS2	2004.0	Role-Playing	0.21	0.17	0.0	0.06	51.0	8.1	T	0.44
4500	The Powerpuff Girls: Him and Seek	GBA	2002.0	Platform	0.31	0.11	0.0	0.01			ND	0.43
4501	Mega Man Zero 2	GBA	2003.0	Platform	0.18	0.07	0.17	0.01	81.0	8.6	E	0.43000000000000005
4502	My Spanish Coach	DS	2007.0	Misc	0.4	0.0	0.0	0.03	73.0		E	0.43000000000000005
4503	Wonder Project J: Kikai no Shonen Pino	SNES	1994.0	Simulation	0.0	0.0	0.43	0.0			ND	0.43
4504	Payday 2	PS3	2013.0	Shooter	0.22	0.14	0.0	0.08	74.0	6.2	M	0.44
4505	WWE 2K16	X360	2015.0	Sports	0.27	0.12	0.0	0.04		5.4	T	0.43
4506	Dragon Ball Z: Shin Budokai - Another Road	PSP	2007.0	Fighting	0.19	0.09	0.08	0.07			ND	0.43000000000000005
4507	The Fairly Odd Parents: Game Boy Advance Video Volume 1	GBA	2004.0	Misc	0.31	0.11	0.0	0.01			ND	0.43
4508	Mass Effect Trilogy	PS3	2012.0	Action	0.37	0.0	0.0	0.06		8.7	M	0.43
4509	Ghostbusters: The Video Game	PS2	2009.0	Action	0.15	0.04	0.0	0.24	64.0	8.7	E10+	0.43
4510	Hunter: The Reckoning  Wayward	PS2	2003.0	Action	0.21	0.16	0.0	0.06	68.0	8.8	M	0.43
4511	Mischief Makers	N64	1997.0	Platform	0.25	0.06	0.07	0.06			ND	0.44
4512	WipEout 64	N64	1998.0	Racing	0.28	0.14	0.0	0.01			ND	0.43000000000000005
4513	EyeToy: AntiGrav	PS2	2004.0	Sports	0.36	0.01	0.0	0.06	71.0	7.8	E	0.43
4514	Dora the Explorer: Dora Puppy	DS	2009.0	Misc	0.39	0.01	0.0	0.03			ND	0.43000000000000005
4515	EverQuest Online Adventures	PS2	2003.0	Role-Playing	0.21	0.16	0.0	0.05	74.0	8.2	T	0.42
4516	OkamiDen	DS	2010.0	Adventure	0.21	0.06	0.13	0.02	82.0	7.9	E10+	0.42000000000000004
4517	Cool Boarders	PS	1996.0	Sports	0.1	0.07	0.24	0.03			ND	0.44000000000000006
4518	Hometown Story	3DS	2013.0	Role-Playing	0.23	0.12	0.04	0.04	47.0	6.0	E10+	0.42999999999999994
4519	Just Dance 4	PS3	2012.0	Misc	0.26	0.11	0.0	0.06	77.0	7.1	E10+	0.43
4520	Mobile Suit Gundam: Zeonic Front	PS2	2001.0	Simulation	0.09	0.07	0.25	0.02	71.0	8.8	T	0.43000000000000005
4521	Monopoly	PS2	2008.0	Misc	0.21	0.16	0.0	0.05		7.2	E	0.42
4522	TouchMaster 3	DS	2009.0	Puzzle	0.29	0.11	0.0	0.04	68.0		E	0.43999999999999995
4523	Dawn of Mana	PS2	2006.0	Role-Playing	0.07	0.05	0.29	0.02	57.0	6.8	T	0.43
4524	Castlevania: Dawn of Sorrow	DS	2005.0	Platform	0.34	0.03	0.03	0.03	89.0	8.5	T	0.43000000000000005
4525	Max Payne 3	PC	2012.0	Shooter	0.16	0.22	0.0	0.05	87.0	7.6	M	0.43
4526	Barbie: Groom and Glam Pups	DS	2010.0	Action	0.25	0.14	0.0	0.04			E	0.43
4527	Tales of the World: Radiant Mythology	PSP	2006.0	Role-Playing	0.17	0.01	0.23	0.02	66.0	7.8	T	0.43000000000000005
4528	Petz Bunnyz	DS	2008.0	Simulation	0.39	0.01	0.0	0.03			E	0.43000000000000005
4529	Alpha Protocol	PS3	2010.0	Role-Playing	0.19	0.17	0.0	0.07	64.0	6.9	M	0.43
4530	Wolfenstein: The Old Blood	PS4	2015.0	Action	0.1	0.25	0.02	0.06	76.0	8.0	ND	0.43
4531	Deer Drive	DS	2010.0	Sports	0.4	0.0	0.0	0.02			T	0.42000000000000004
4532	Petz: Horsez 2	DS	2007.0	Simulation	0.39	0.0	0.0	0.03			E	0.42000000000000004
4533	Rayman Legends	X360	2013.0	Platform	0.19	0.2	0.0	0.04	90.0	8.2	E10+	0.43
4534	Madden NFL 2003	GC	2002.0	Sports	0.33	0.09	0.0	0.01	92.0	8.5	E	0.43000000000000005
4535	Backyard Baseball	GBA	2002.0	Sports	0.31	0.11	0.0	0.01			ND	0.43
4536	Midway Arcade Treasures	XB	2003.0	Misc	0.33	0.08	0.0	0.01	74.0		T	0.42000000000000004
4537	Disney Sing It	X360	2008.0	Misc	0.39	0.01	0.0	0.03	53.0	5.2	E	0.43000000000000005
4538	Remington Great American Bird Hunt	Wii	2009.0	Sports	0.4	0.0	0.0	0.03			T	0.43000000000000005
4539	Microsoft Flight Simulator X	PC	2006.0	Simulation	0.02	0.36	0.0	0.05	80.0	7.6	E	0.43
4540	Bakugan: Battle Brawlers	PS2	2009.0	Action	0.21	0.16	0.0	0.05		5.7	E	0.42
4541	NHL FaceOff 99	PS	1997.0	Sports	0.24	0.16	0.0	0.03			ND	0.43000000000000005
4542	SEGA Classics Collection	PS2	2005.0	Misc	0.21	0.16	0.0	0.05	46.0	6.7	T	0.42
4543	Crash: Mind Over Mutant	Wii	2008.0	Platform	0.35	0.05	0.0	0.03	70.0	6.6	E10+	0.42999999999999994
4544	Naruto: Ninja Council 3	DS	2006.0	Action	0.39	0.0	0.0	0.03	56.0	6.5	E10+	0.42000000000000004
4545	Dai-2-Ji Super Robot Taisen Z: Hakai-hen	PSP	2011.0	Strategy	0.0	0.0	0.42	0.0			ND	0.42
4546	Neon Genesis Evangelion 2nd Impression	SAT	1997.0	Role-Playing	0.0	0.0	0.42	0.0			ND	0.42
4547	NBA Street	GC	2002.0	Sports	0.33	0.09	0.0	0.01	88.0	8.6	E	0.43000000000000005
4548	Def Jam Icon	PS3	2007.0	Action	0.16	0.19	0.0	0.08	68.0	4.4	M	0.43
4549	2014 FIFA World Cup Brazil	X360	2014.0	Sports	0.15	0.25	0.0	0.03	74.0	4.4	E	0.43000000000000005
4550	The Legend of Spyro: The Eternal Night	PS2	2007.0	Platform	0.21	0.16	0.0	0.05	54.0	5.4	E10+	0.42
4551	Atelier Totori: The Adventurer of Arland	PS3	2010.0	Role-Playing	0.12	0.06	0.21	0.03	74.0	6.7	T	0.42000000000000004
4552	Mega Man Battle Network	GBA	2001.0	Role-Playing	0.14	0.05	0.22	0.01	79.0	8.9	E	0.42000000000000004
4553	Juiced: Eliminator	PSP	2006.0	Racing	0.11	0.2	0.0	0.12	65.0	8.2	T	0.43
4554	25 to Life	PS2	2006.0	Shooter	0.35	0.01	0.0	0.06	39.0	4.9	M	0.42
4555	NHL 2K6	PS2	2005.0	Sports	0.21	0.16	0.0	0.05	81.0	5.8	E10+	0.42
4556	Medal of Honor: Rising Sun	GC	2003.0	Shooter	0.33	0.09	0.0	0.01	68.0	6.4	T	0.43000000000000005
4557	The Sims	XB	2003.0	Simulation	0.31	0.1	0.0	0.01	84.0	6.9	T	0.42000000000000004
4558	Dog's Life	PS2	2003.0	Adventure	0.21	0.16	0.0	0.05	64.0	3.1	T	0.42
4559	The X Files	PS	1999.0	Adventure	0.24	0.16	0.0	0.03			ND	0.43000000000000005
4560	Super Wagyan Land	SNES	1991.0	Action	0.0	0.0	0.42	0.0			ND	0.42
4561	Rascal	PS	1998.0	Action	0.24	0.16	0.0	0.03			ND	0.43000000000000005
4562	Barbie: Jet, Set & Style!	DS	2011.0	Misc	0.34	0.05	0.0	0.03			ND	0.42000000000000004
4563	Tony Hawk's American Wasteland	GC	2005.0	Sports	0.33	0.08	0.0	0.01	76.0	7.7	T	0.42000000000000004
4564	Command & Conquer 3: Tiberium Wars	X360	2007.0	Strategy	0.35	0.04	0.0	0.03			ND	0.41999999999999993
4565	Sin and Punishment: Star Successor	Wii	2009.0	Shooter	0.19	0.14	0.06	0.03			ND	0.42000000000000004
4566	Crash: Mind Over Mutant	PSP	2008.0	Platform	0.11	0.2	0.0	0.11		6.5	E10+	0.42
4567	Ben 10 Alien Force: Vilgax Attacks	DS	2009.0	Action	0.22	0.16	0.0	0.04			E	0.42
4568	Famicom Mini: Super Mario Bros. 2	GBA	2004.0	Platform	0.0	0.0	0.41	0.01			ND	0.42
4569	Colony Wars	PS	1997.0	Simulation	0.24	0.16	0.0	0.03	91.0	7.8	E	0.43000000000000005
4570	All-Star Baseball 2004	PS2	2003.0	Sports	0.21	0.16	0.0	0.05	78.0	7.5	E	0.42
4571	Big Strike Bowling	PS	2003.0	Sports	0.23	0.16	0.0	0.03			ND	0.42000000000000004
4572	Skylanders: SuperChargers	X360	2015.0	Action	0.25	0.13	0.0	0.04		5.4	E10+	0.42
